BUKRS,LIFNR,AUGDT,AUGBL,ZUONR,GJAHR,BELNR,BUZEI,BUDAT,BLDAT,CPUDT,WAERS,XBLNR,BLART,MONAT,BSCHL,SHKZ,MWSKZ,DMBTR,WRBTR,ZFBDT,ZTERM,ZLSCH,,,,CHECT,XBANC,BANCD,VOIDR,VOIDD,
1001,400668,2020-05-29,2001832133,10000,2020,5100218918,1,2020-05-04,2020-05-01,2020-05-04,USD,10000,RE,5,31,H,I1,63.78,63.78,2020-05-01,0010,V,2020-05-29,US02,2020-05-29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400668,2020-06-22,2001841452,486733220001,2020,5100219278,1,2020-06-22,2020-05-01,2020-06-22,USD,486733220001,RE,6,31,H,I1,235.22,235.22,2020-05-01,0010,V,2020-06-22,US02,2020-06-22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400675,2020-01-30,2001782313,2194296,2020,2500239485,1,2020-01-08,2019-12-31,2020-01-08,USD,2194296,HV,1,31,H,I0,32354.74,32354.74,2019-12-31,0010,V,2020-01-30,US02,2020-01-30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400675,2020-02-28,2001796112,29211,2020,2500243359,1,2020-02-05,2020-01-31,2020-02-05,USD,29211,HV,2,31,H,I0,33163.96,33163.96,2020-01-31,0010,V,2020-02-28,US02,2020-02-28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400675,2020-03-30,2001810535,2198619,2020,2500247520,1,2020-03-04,2020-02-29,2020-03-04,USD,2198619,HV,3,31,H,I0,32944.49,32944.49,2020-02-29,0010,V,2020-03-30,US02,2020-03-30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400675,2020-04-30,2001821889,29211,2020,2500250590,1,2020-04-03,2020-03-31,2020-04-03,USD,29211,HV,4,31,H,I0,34769.31,34769.31,2020-03-31,0010,V,2020-04-30,US02,2020-04-30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400675,2020-05-29,2001832134,29211,2020,2500253474,1,2020-05-06,2020-04-30,2020-05-06,USD,29211,HV,5,31,H,I0,32087.80,32087.80,2020-04-30,0010,V,2020-05-29,US02,2020-05-29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400675,2020-07-30,2001858420,2207334,2020,2500258296,1,2020-07-06,2020-06-30,2020-07-06,USD,2207334,HV,7,31,H,I0,32243.04,32243.04,2020-06-30,0010,V,2020-07-30,US02,2020-07-30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400675,2020-08-28,2001871441,2209552,2020,2500260956,1,2020-08-05,2020-07-31,2020-08-05,USD,2209552,HV,8,31,H,I0,34617.18,34617.18,2020-07-31,0010,V,2020-08-28,US02,2020-08-28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400681,2020-02-20,2001792337,DETR602447,2020,2500241651,1,2020-01-22,2020-01-21,2020-01-22,USD,DETR602447,HV,1,31,H,I1,125.74,125.74,2020-01-21,0010,V,2020-02-20,US02,2020-02-20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400681,2020-06-12,2001837572,DETR602683,2020,2500254490,1,2020-05-20,2020-05-15,2020-05-20,USD,DETR602683,HV,5,31,H,I1,168.10,168.10,2020-05-15,0010,V,2020-06-12,US02,2020-06-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400681,2020-08-07,2001862136,DETR602801,2020,2500258937,1,2020-07-13,2020-07-10,2020-07-13,USD,DETR602801,HV,7,31,H,I0,160.00,160.00,2020-07-10,0010,V,2020-08-07,US02,2020-08-07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400689,2020-01-27,2001780580,1034380451-3,2020,2500241930,1,2020-01-25,2019-11-18,2020-01-25,USD,1034380451-3,HV,1,31,H,I1,38800.00,38800.00,2019-11-18,0010,V,2020-01-27,US02,2020-01-27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400689,2020-02-12,2001788775,1034424932-0,2020,2500241609,1,2020-01-23,2020-01-13,2020-01-23,USD,1034424932-0,HV,1,31,H,I1,10800.00,10800.00,2020-01-13,0010,V,2020-02-12,US02,2020-02-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400689,2020-03-26,2001809094,1034448104-8,2020,2500245719,1,2020-02-26,2020-02-25,2020-02-26,USD,1034448104-8,HV,2,31,H,I1,90300.00,90300.00,2020-02-25,0010,V,2020-03-26,US02,2020-03-26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400689,2020-07-15,2001850972,1034586442-4,2020,5100219731,1,2020-06-19,2020-06-15,2020-06-19,USD,1034586442-4,RE,6,31,H,I0,56499.16,56499.16,2020-06-15,0010,V,2020-07-15,US02,2020-07-15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400689,2020-08-07,2001862137,1034606870-2,2020,5100220106,1,2020-07-16,2020-07-10,2020-07-16,USD,1034606870-2,RE,7,31,H,I0,95944.01,95944.01,2020-07-10,0010,V,2020-08-07,US02,2020-08-07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400695,2020-03-24,2001807839,5729080,2020,5100217921,1,2020-03-24,2020-02-08,2020-03-24,USD,5729080,RE,3,31,H,I0,44419.00,44419.00,2020-02-08,0010,V,2020-03-24,US02,2020-03-24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400695,2020-04-22,2001819141,5687814,2020,5100215886,1,2020-04-22,2020-01-07,2020-04-22,USD,5687814,RE,4,31,H,I0,64924.06,64924.06,2020-01-07,0010,V,2020-04-22,US02,2020-04-22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400695,2020-04-22,2001819141,5770324,2020,5100217448,1,2020-04-22,2020-03-07,2020-04-22,USD,5770324,RE,4,31,H,I0,40132.19,40132.19,2020-03-07,0010,V,2020-04-22,US02,2020-04-22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400695,2020-05-07,2001824413,5811271,2020,5100218508,1,2020-04-22,2020-04-07,2020-04-22,USD,5811271,RE,4,31,H,I0,56889.75,56889.75,2020-04-07,0010,V,2020-05-07,US02,2020-05-07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400695,2020-06-05,2001834671,5851337,2020,5100219113,1,2020-05-12,2020-05-07,2020-05-12,USD,5851337,RE,5,31,H,I0,40095.12,40095.12,2020-05-07,0010,V,2020-06-05,US02,2020-06-05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400695,2020-07-08,2001848014,5891508,2020,5100219598,1,2020-06-11,2020-06-08,2020-06-11,USD,5891508,RE,6,31,H,I0,45031.94,45031.94,2020-06-08,0010,V,2020-07-08,US02,2020-07-08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400695,2020-08-06,2001861577,5932132,2020,5100220160,1,2020-07-15,2020-07-07,2020-07-15,USD,5932132,RE,7,31,H,I0,72318.63,72318.63,2020-07-07,0010,V,2020-08-06,US02,2020-08-06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400703,2020-01-06,2001770444,667474,2020,5100215649,1,2020-01-06,2019-11-20,2020-01-06,USD,667474,RE,1,31,H,I0,23891.00,23891.00,2019-11-20,0010,V,2020-01-06,US02,2020-01-06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400703,2020-01-22,2001778653,667475,2020,5100215650,1,2020-01-06,2019-12-23,2020-01-06,USD,667475,RE,1,31,H,I0,6479.36,6479.36,2019-12-23,0010,V,2020-01-22,US02,2020-01-22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400703,2020-03-12,2001802325,667860,2020,5100216519,1,2020-02-13,2020-02-11,2020-02-13,USD,667860,RE,2,31,H,I0,36055.25,36055.25,2020-02-11,0010,V,2020-03-12,US02,2020-03-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400703,2020-03-20,2001806436,485819,2020,5100216754,1,2020-02-21,2020-02-20,2020-02-21,USD,485819,RE,2,31,H,I0,9000.00,9000.00,2020-02-20,0010,V,2020-03-20,US02,2020-03-20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400703,2020-04-01,2001811630,5070193,2020,5100215696,1,2020-04-01,2019-12-31,2020-04-01,USD,5070193,RE,4,31,H,I0,2347.57,2347.57,2019-12-31,0010,V,2020-04-01,US02,2020-04-01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400703,2020-04-01,2001811630,5070459,2020,5100216344,1,2020-04-01,2020-01-31,2020-04-01,USD,5070459,RE,4,31,H,I0,2387.48,2387.48,2020-01-31,0010,V,2020-04-01,US02,2020-04-01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400703,2020-04-01,2001811630,5070844,2020,5100217226,1,2020-04-01,2020-02-29,2020-04-01,USD,5070844,RE,4,31,H,I0,2387.48,2387.48,2020-02-29,0010,V,2020-04-01,US02,2020-04-01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400703,2020-04-30,2001821890,485831,2020,5100218117,1,2020-04-09,2020-03-31,2020-04-09,USD,485831,RE,4,31,H,I0,4500.00,4500.00,2020-03-31,0010,V,2020-04-30,US02,2020-04-30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400703,2020-04-30,2001821890,5071068,2020,5100218346,1,2020-04-08,2020-03-31,2020-04-08,USD,5071068,RE,4,31,H,I0,2387.48,2387.48,2020-03-31,0010,V,2020-04-30,US02,2020-04-30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400703,2020-05-29,2001832135,5071301,2020,5100219019,1,2020-05-06,2020-04-30,2020-05-06,USD,5071301,RE,5,31,H,I0,2387.48,2387.48,2020-04-30,0010,V,2020-05-29,US02,2020-05-29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400703,2020-06-30,2001844990,5071554,2020,5100219478,1,2020-06-04,2020-05-31,2020-06-04,USD,5071554,RE,6,31,H,I0,2387.48,2387.48,2020-05-31,0010,V,2020-06-30,US02,2020-06-30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400703,2020-07-30,2001858421,5071845,2020,5100220018,1,2020-07-13,2020-06-30,2020-07-13,USD,5071845,RE,7,31,H,I0,2387.48,2387.48,2020-06-30,0010,V,2020-07-30,US02,2020-07-30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400712,2020-02-07,2001786853,8000952887,2020,5100215763,1,2020-01-13,2020-01-09,2020-01-13,USD,8000952887,RE,1,31,H,I0,177215.00,177215.00,2020-01-09,0010,V,2020-02-07,US02,2020-02-07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400712,2020-02-18,2001791148,8000965990,2020,5100215932,1,2020-02-17,2020-01-17,2020-02-17,USD,8000965990,RE,2,31,H,I0,70000.00,70000.00,2020-01-17,0010,V,2020-02-18,US02,2020-02-18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400712,2020-03-13,2001803020,8000933224,2020,5100217249,1,2020-03-13,2019-12-18,2020-03-13,USD,8000933224,RE,3,31,H,I0,88000.00,88000.00,2019-12-18,0010,V,2020-03-13,US02,2020-03-13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400712,2020-03-17,2001804568,8000925490,2020,5100216496,1,2020-03-17,2019-12-13,2020-03-17,USD,8000925490,RE,3,31,H,I0,18684.00,18684.00,2019-12-13,0010,V,2020-03-17,US02,2020-03-17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400712,2020-07-03,2001846467,8001221945,2020,5100219532,1,2020-06-11,2020-06-04,2020-06-11,USD,8001221945,RE,6,31,H,I0,40000.00,40000.00,2020-06-04,0010,V,2020-07-03,US02,2020-07-03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400712,2020-09-04,2001874579,8001311008,2020,5100220945,1,2020-08-12,2020-08-07,2020-08-12,USD,8001311008,RE,8,31,H,I0,40949.00,40949.00,2020-08-07,0010,V,2020-09-04,US02,2020-09-04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400712,2020-09-04,2001874579,8001311009,2020,5100221007,1,2020-08-18,2020-08-07,2020-08-18,USD,8001311009,RE,8,31,H,I0,23330.00,23330.00,2020-08-07,0010,V,2020-09-04,US02,2020-09-04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-03,2001769644,6-842-61394,2020,2500239291,1,2020-01-03,2019-11-19,2020-01-03,USD,6-842-61394,HV,1,31,H,I0,8.57,8.57,2019-11-19,0017,V,2020-01-03,US02,2020-01-03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-03,2001769644,6-849-80898,2020,2500239292,1,2020-01-03,2019-11-26,2020-01-03,USD,6-849-80898,HV,1,31,H,I0,9.49,9.49,2019-11-26,0017,V,2020-01-03,US02,2020-01-03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-06,2001770445,6-845-22806,2020,2500239275,1,2020-01-05,2019-11-21,2020-01-05,USD,6-845-22806,HV,1,31,H,I0,70.65,70.65,2019-11-21,0017,V,2020-01-06,US02,2020-01-06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-06,2001770445,6-872-56746,2020,2500239040,1,2020-01-06,2019-12-19,2020-01-06,USD,6-872-56746,HV,1,31,H,I0,972.99,972.99,2019-12-19,0017,V,2020-01-06,US02,2020-01-06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-06,2001770445,6-880-35111,2020,2500239178,1,2020-01-05,2019-12-26,2020-01-05,USD,6-880-35111,HV,1,31,H,I0,194.15,194.15,2019-12-26,0017,V,2020-01-06,US02,2020-01-06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-06,2001770445,6-881-13158,2020,2500239041,1,2020-01-06,2019-12-26,2020-01-06,USD,6-881-13158,HV,1,31,H,I0,806.65,806.65,2019-12-26,0017,V,2020-01-06,US02,2020-01-06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-08,2001771662,3-216-06559,2020,2500239136,1,2020-01-08,2019-12-20,2020-01-08,USD,3-216-06559,HV,1,31,H,I0,17.85,17.85,2019-12-20,0017,V,2020-01-08,US02,2020-01-08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-08,2001771662,6-872-82503,2020,2500239135,1,2020-01-08,2019-12-19,2020-01-08,USD,6-872-82503,HV,1,31,H,I0,1321.35,1321.35,2019-12-19,0017,V,2020-01-08,US02,2020-01-08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-08,2001771662,6-880-65696,2020,2500239137,1,2020-01-08,2019-12-26,2020-01-08,USD,6-880-65696,HV,1,31,H,I0,952.23,952.23,2019-12-26,0017,V,2020-01-08,US02,2020-01-08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-10,2001772978,6-885-33930,2020,2500239227,1,2020-01-03,2020-01-01,2020-01-03,USD,6-885-33930,HV,1,31,H,I0,703.03,703.03,2020-01-01,0017,V,2020-01-10,US02,2020-01-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-10,2001772978,6-886-19734,2020,2500239223,1,2020-01-03,2020-01-02,2020-01-03,USD,6-886-19734,HV,1,31,H,I0,3081.40,3081.40,2020-01-02,0017,V,2020-01-10,US02,2020-01-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-10,2001772978,6-886-38692,2020,2500239225,1,2020-01-03,2020-01-02,2020-01-03,USD,6-886-38692,HV,1,31,H,I0,7652.72,7652.72,2020-01-02,0017,V,2020-01-10,US02,2020-01-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-10,2001772978,6-886-41609,2020,2500239128,1,2020-01-03,2020-01-02,2020-01-03,USD,6-886-41609,HV,1,31,H,I0,441.88,441.88,2020-01-02,0017,V,2020-01-10,US02,2020-01-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-10,2001772978,6-886-43090,2020,2500239039,1,2020-01-06,2020-01-02,2020-01-06,USD,6-886-43090,HV,1,31,H,I0,170.82,170.82,2020-01-02,0017,V,2020-01-10,US02,2020-01-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-10,2001772978,6-886-43117,2020,2500239042,1,2020-01-06,2020-01-02,2020-01-06,USD,6-886-43117,HV,1,31,H,I0,539.35,539.35,2020-01-02,0017,V,2020-01-10,US02,2020-01-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-10,2001772978,6-886-81910,2020,2500239226,1,2020-01-03,2020-01-02,2020-01-03,USD,6-886-81910,HV,1,31,H,I0,684.30,684.30,2020-01-02,0017,V,2020-01-10,US02,2020-01-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-10,2001772978,6-886-81913,2020,2500239138,1,2020-01-08,2020-01-02,2020-01-08,USD,6-886-81913,HV,1,31,H,I0,456.56,456.56,2020-01-02,0017,V,2020-01-10,US02,2020-01-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-10,2001772978,6-886-95783,2020,2500239081,1,2020-01-05,2020-01-02,2020-01-05,USD,6-886-95783,HV,1,31,H,I0,74.87,74.87,2020-01-02,0017,V,2020-01-10,US02,2020-01-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-10,2001772978,6-887-02099,2020,2500239127,1,2020-01-03,2020-01-02,2020-01-03,USD,6-887-02099,HV,1,31,H,I0,401.13,401.13,2020-01-02,0017,V,2020-01-10,US02,2020-01-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-10,2001772978,6-887-04078,2020,2500239043,1,2020-01-06,2020-01-02,2020-01-06,USD,6-887-04078,HV,1,31,H,I0,195.11,195.11,2020-01-02,0017,V,2020-01-10,US02,2020-01-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-13,2001773825,3-206-78339,2020,2500235561,1,2020-01-13,2019-11-22,2020-01-13,USD,3-206-78339,HV,1,31,H,I0,129.63,129.63,2019-11-22,0017,V,2020-01-13,US02,2020-01-13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-13,2001773825,3-209-16818,2020,2500235549,1,2020-01-13,2019-11-29,2020-01-13,USD,3-209-16818,HV,1,31,H,I0,128.48,128.48,2019-11-29,0017,V,2020-01-13,US02,2020-01-13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-13,2001773825,3-211-28052,2020,2500236550,1,2020-01-13,2019-12-06,2020-01-13,USD,3-211-28052,HV,1,31,H,I0,53.28,53.28,2019-12-06,0017,V,2020-01-13,US02,2020-01-13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-13,2001773825,3-220-15675,2020,2500239224,1,2020-01-03,2020-01-03,2020-01-03,USD,3-220-15675,HV,1,31,H,I0,105.60,105.60,2020-01-03,0017,V,2020-01-13,US02,2020-01-13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-13,2001773825,6-844-71885,2020,2500235550,1,2020-01-13,2019-11-21,2020-01-13,USD,6-844-71885,HV,1,31,H,I0,10.05,10.05,2019-11-21,0017,V,2020-01-13,US02,2020-01-13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-13,2001773825,6-887-14287,2020,2500239647,1,2020-01-06,2020-01-03,2020-01-06,USD,6-887-14287,HV,1,31,H,I0,538.14,538.14,2020-01-03,0017,V,2020-01-13,US02,2020-01-13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-14,2001774672,6-880-42638,2020,2500239209,1,2020-01-14,2019-12-26,2020-01-14,USD,6-880-42638,HV,1,31,H,I0,164.83,164.83,2019-12-26,0017,V,2020-01-14,US02,2020-01-14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-15,2001775201,6-871-55129,2020,2500239289,1,2020-01-15,2019-12-18,2020-01-15,USD,6-871-55129,HV,1,31,H,I0,10.06,10.06,2019-12-18,0017,V,2020-01-15,US02,2020-01-15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-15,2001775201,6-886-61541,2020,2500240864,1,2020-01-15,2020-01-02,2020-01-15,USD,6-886-61541,HV,1,31,H,I0,131.25,131.25,2020-01-02,0017,V,2020-01-15,US02,2020-01-15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-17,2001776835,1-869-44991,2020,2500232250,1,2020-01-17,2019-10-25,2020-01-17,USD,1-869-44991,HV,1,31,H,I0,16.76,16.76,2019-10-25,0017,V,2020-01-17,US02,2020-01-17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-17,2001776835,4-003-42950,2020,2500232216,1,2020-01-17,2019-11-01,2020-01-17,USD,4-003-42950,HV,1,31,H,I0,17.36,17.36,2019-11-01,0017,V,2020-01-17,US02,2020-01-17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-17,2001776835,6-777-57629,2020,2500232251,1,2020-01-17,2019-10-24,2020-01-17,USD,6-777-57629,HV,1,31,H,I0,9.49,9.49,2019-10-24,0017,V,2020-01-17,US02,2020-01-17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-17,2001776835,6-778-29299,2020,2500232214,1,2020-01-17,2019-10-24,2020-01-17,USD,6-778-29299,HV,1,31,H,I0,413.12,413.12,2019-10-24,0017,V,2020-01-17,US02,2020-01-17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-17,2001776835,6-824-36984,2020,2500232215,1,2020-01-17,2019-10-31,2020-01-17,USD,6-824-36984,HV,1,31,H,I0,241.14,241.14,2019-10-31,0017,V,2020-01-17,US02,2020-01-17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-17,2001776835,6-825-05140,2020,2500232217,1,2020-01-17,2019-10-31,2020-01-17,USD,6-825-05140,HV,1,31,H,I0,23.14,23.14,2019-10-31,0017,V,2020-01-17,US02,2020-01-17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-17,2001776835,6-831-03837,2020,2500240887,1,2020-01-17,2019-11-07,2020-01-17,USD,6-831-03837,HV,1,31,H,I0,247.54,247.54,2019-11-07,0017,V,2020-01-17,US02,2020-01-17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-17,2001776835,6-838-84489,2020,2500240884,1,2020-01-17,2019-11-14,2020-01-17,USD,6-838-84489,HV,1,31,H,I0,317.92,317.92,2019-11-14,0017,V,2020-01-17,US02,2020-01-17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-17,2001776835,6-859-07160,2020,2500240892,1,2020-01-17,2019-12-05,2020-01-17,USD,6-859-07160,HV,1,31,H,I0,190.92,190.92,2019-12-05,0017,V,2020-01-17,US02,2020-01-17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-17,2001776835,6-873-20850,2020,2500240885,1,2020-01-17,2019-12-19,2020-01-17,USD,6-873-20850,HV,1,31,H,I0,282.49,282.49,2019-12-19,0017,V,2020-01-17,US02,2020-01-17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-17,2001776835,6-886-32404,2020,2500240890,1,2020-01-17,2020-01-02,2020-01-17,USD,6-886-32404,HV,1,31,H,I0,206.11,206.11,2020-01-02,0017,V,2020-01-17,US02,2020-01-17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-17,2001776835,6-890-93929,2020,2500240365,1,2020-01-10,2020-01-08,2020-01-10,USD,6-890-93929,HV,1,31,H,I0,810.87,810.87,2020-01-08,0017,V,2020-01-17,US02,2020-01-17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400717,2020-01-17,2001776835,6-891-97819,2020,2500240886,1,2020-01-17,2020-01-09,2020-01-17,USD,6-891-97819,HV,1,31,H,I0,251.30,251.30,2020-01-09,0017,V,2020-01-17,US02,2020-01-17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
